sbe	entry- index	start	end	full- src	full- tr	SND- Filename
AUG2115.SBE	2	241	330	It was a pleasure to meet you, monsieur August.	만나서 즐거웠어요, 무슈 아우구스트.	AUG2115.SND
AUG2115.SBE	3	331	420	We'll drink that champagne another time, yes?	샴페인은 다음에 같이 마셔요, 그렇죠?	AUG2115.SND
AUG2115.SBE	4	421	476	You have my word of honor.	명예를 걸고 약속드리지요.	AUG2115.SND
AUG3006.SBE	0	1	30	In Vienna?	비엔나에서요?	AUG3006.SND
AUG3006.SBE	1	31	120	But didn't you say you were going to Constantinople?	콘스탄티노플까지 가신다고 하지 않으셨나요?	AUG3006.SND
AUG3006.SBE	2	121	210	Yes, but my plans have changed. Business.	네, 하지만 계획이 바뀌었습니다. 일 때문이지요.	AUG3006.SND
AUG3006.SBE	3	211	270	Must you really get off in Vienna?	정말 비엔나에서 내리셔야 하나요?	AUG3006.SND
AUG3006.SBE	4	271	390	You make me feel very sorry to do so, madame.	마담께서 그렇게 말씀하시니 더 아쉽군요.	AUG3006.SND
AUG3006.SBE	5	391	474	I was looking forward to enjoying your company for the whole journey.	여정 내내 함께할 수 있길 기대하고 있었습니다.	AUG3006.SND
AUG3006A.SBE	0	1	135	What is your business, anyway? You make it sound so mysterious.	도대체 무슨 일을 하시길래요? 말씀하실 때마다 너무 비밀스러워요.	AUG3006A.SND
AUG3006A.SBE	1	136	210	I am afraid you would find it very boring.	지루하게 느끼실까 걱정됩니다.	AUG3006A.SND
AUG3006A.SBE	2	211	300	But without going into detail,	자세히 말씀드릴 수는 없지만,	AUG3006A.SND
AUG3006A.SBE	3	301	390	I will say that my work here is not only commerce.	제가 하는 일은 단순한 상업만은 아닙니다.	AUG3006A.SND
AUG3006A.SBE	4	391	535	And that in my own small way, I'm doing my part for the fatherland.	저 나름대로 조국을 위해 맡은 몫을 하고 있지요.	AUG3006A.SND
AUG3007.SBE	0	1	90	I too studied music in my youth.	저도 젊을 때 음악을 공부했습니다.	AUG3007.SND
AUG3007.SBE	1	91	180	If I may say so, I was not without promise.	스스로 말하긴 뭣하지만, 재능이 아주 없진 않았습니다.	AUG3007.SND
AUG3007.SBE	2	181	270	Alas, life had other plans for me.	하지만 인생은 제게 다른 길을 준비해 두었더군요.	AUG3007.SND
AUG3007.SBE	3	271	390	We're none of us free to choose our own destiny, herr Schmidt.	우리 중 누구도 자기 운명을 마음대로 고를 수는 없지요, 헤어 슈미트.	AUG3007.SND
AUG3007.SBE	4	391	450	Ah. But when you play, madame,	아... 하지만 마담이 연주하실 때면,	AUG3007.SND
AUG3007.SBE	5	451	540	you make all of us feel that we are free	우리 모두가 자유롭다고 느끼게 됩니다.	AUG3007.SND
AUG3007.SBE	6	541	613	and that we can fly with wings.	정말로 날개를 달고 날아오를 수 있을 것처럼요.	AUG3007.SND
AUG3007A.SBE	0	1	105	And also you know I can carry my violin anywhere I go.	게다가 전 어디든 바이올린을 들고 갈 수 있잖아요.	AUG3007A.SND
AUG3007A.SBE	1	106	180	With a piano it's a little bit more difficult.	피아노는 그게 좀 어렵지요.	AUG3007A.SND
AUG3007A.SBE	2	219	378	But, Herr Schmidt, I really am interested in what you do.	그래도 헤어 슈미트, 당신이 하는 일이 정말 궁금해요.	AUG3007A.SND
AUG3008.SBE	0	1	90	I'd better get ready for the concert now.	이제 연주회 준비를 해야겠어요.	AUG3008.SND
AUG3008.SBE	1	91	150	I will be in the front row.	저는 맨 앞줄에 있겠습니다.	AUG3008.SND
AUG3008.SBE	2	151	180	You're very kind, herr Schmidt.	친절하시네요, 헤어 슈미트.	AUG3008.SND
AUG3008.SBE	3	181	238	Please, call me August.	그냥 아우구스트라고 불러 주십시오.	AUG3008.SND
AUG3009.SBE	0	1	120	Fraulein Wolff, wonderful. Wunderbar.	프로일라인 볼프, 훌륭했습니다. 분더바.	AUG3009.SND
AUG3009.SBE	1	121	150	Oh, thank you.	아, 고마워요.	AUG3009.SND
AUG3009.SBE	2	165	255	Will you join me in a glass of champagne?	샴페인 한 잔 함께하시겠습니까?	AUG3009.SND
AUG3009.SBE	3	256	360	You're kind, but I'm a little tired just now.	마음은 고맙지만, 지금은 조금 피곤하네요.	AUG3009.SND
AUG3009.SBE	4	361	391	Thank you.	고마워요.	AUG3009.SND
AUG3009A.SBE	0	1	55	Then, how about dinner?	그럼 저녁은 어떻습니까?	AUG3009A.SND
AUG3100.SBE	0	1	71	Not here. Come to my compartment.	여긴 안 됩니다. 제 객실로 오십시오.	AUG3100.SND
AUG3101.SBE	0	1	69	Not now. Wait 5 minutes.	지금은 안 됩니다. 5분 뒤에요.	AUG3101.SND
AUG3102.SBE	0	1	74	Not now. After the concert.	지금은 안 됩니다. 연주회가 끝난 뒤에요.	AUG3102.SND
AUG3103.SBE	0	1	31	In the smoking car.	흡연칸에서요.	AUG3103.SND
AUG4001.SBE	0	0	42	Excuse me, Monsieur.	실례합니다, 무슈.	AUG4001.SND
AUG4001.SBE	1	42	106	I bring you a message from Madame Wolff.	마담 볼프께서 전갈을 보내셨습니다.	AUG4001.SND
AUG4001.SBE	2	106	128	Yes?	예?	AUG4001.SND
AUG4001.SBE	3	128	226	Madame regrets to say Monsieur that she is indisposed,	마담께서 몸이 편찮으셔서	AUG4001.SND
AUG4001.SBE	4	226	314	she will be unable to join you for dinner this evening.	오늘 저녁은 함께하지 못하신다며 유감이라고 전해달라고 하셨습니다.	AUG4001.SND
AUG4001.SBE	5	314	369	I'm most sorry, Monsieur.	정말 죄송합니다, 무슈.	AUG4001.SND
AUG4001.SBE	6	390	512	Will Monsieur still be wanting the special wine and champagne?	그래도 특별 와인과 샴페인은 그대로 준비해 드릴까요, 무슈?	AUG4001.SND
AUG4001.SBE	7	534	669	If Monsieur wishes, it is, of course, possible to revise the selection.	원하시면 주문을 바꾸실 수도 있습니다, 무슈.	AUG4001.SND
AUG4001.SBE	8	702	759	Shall be as we discussed.	아니요, 아까 논의한 대로 하지요.	AUG4001.SND
AUG4001.SBE	9	759	841	Bring the champagne first, then the wine with dinner.	샴페인을 먼저 가져오고, 저녁 때 와인을 내오시오.	AUG4001.SND
AUG4001.SBE	10	841	873	Very good, Monsieur.	알겠습니다, 무슈.	AUG4001.SND
AUG4002.SBE	0	0	36	Good evening Monsieur.	좋은 저녁입니다, 무슈.	AUG4002.SND
AUG4002.SBE	1	36	194	Good evening. I will have the steak with b괶rnaise sauce, medium rare.	좋은 저녁입니다. 베아르네즈 소스 스테이크를 미디엄 레어로 주시오.	AUG4002.SND
AUG4002.SBE	2	194	327	The steak with b괶rnaise sauce. Tr둺 bien Monsieur.	베아르네즈 소스 스테이크, 알겠습니다. 트레 비앙, 무슈.	AUG4002.SND
AUG4003.SBE	0	1	30	Yes, monsieur.	예, 무슈.	AUG4003.SND
AUG4003.SBE	1	31	150	Some brandy, please. Your best. With two glasses.	브랜디를 좀 주시오. 가장 좋은 것으로, 잔은 두 개.	AUG4003.SND
AUG4003.SBE	2	151	183	Very good, monsieur.	알겠습니다, 무슈.	AUG4003.SND
AUG4003A.SBE	0	1	35	Waiter!	웨이터!	AUG4003A.SND
AUG4004.SBE	0	1	30	Your brandy, monsieur.	브랜디 나왔습니다, 무슈.	AUG4004.SND
AUG4004.SBE	1	31	105	Thank you. You may leave the bottle.	고맙소. 병은 두고 가시오.	AUG4004.SND
AUG4004.SBE	2	106	130	Very good, monsieur.	알겠습니다, 무슈.	AUG4004.SND
AUG5002.SBE	0	1	27	Yes?	예?	AUG5002.SND
AUG5002A.SBE	0	1	21	Who is it?	누구죠?	AUG5002A.SND
AUG5002B.SBE	0	1	90	First you ask that we stay in the compartment.	먼저 객실에 있으라고 하시더니,	AUG5002B.SND
AUG5002B.SBE	1	91	165	And then you come and knock on the door!	이젠 직접 와서 문을 두드리시네요!	AUG5002B.SND
AUG5002B.SBE	2	166	285	Will you please explain to me why are you knocking on the door	열지 말라고 하면서 왜 문을 두드리는 건지	AUG5002B.SND
AUG5002B.SBE	3	286	343	if you don't want us to open it?	설명해 주시겠습니까?	AUG5002B.SND
AVRICOUR.SBE	0	0	100	Avricourt 1:12 am	아브리쿠르 오전 1:12	AVRICOUR.SND
BADENOOS.SBE	0	0	100	Baden Oos 4:30 am	바덴오스 오전 4:30	BADENOOS.SND
BARLEDUC.SBE	0	0	100	Bar Le Duc 10:45 pm	바르르뒤크 오후 10:45	BARLEDUC.SND
CAT1001.SBE	0	1	19	Miss Wolff?	미스 볼프?	CAT1001.SND
CAT1002.SBE	0	1	13	Herr Schmidt?	헤어 슈미트?	CAT1002.SND
CAT1002A.SBE	0	1	23	Herr Schmidt.	헤어 슈미트.	CAT1002A.SND
CAT1010.SBE	0	1	23	Tatiana?	타티아나?	CAT1010.SND
CAT1010A.SBE	0	1	21	Tatiana?	타티아나?	CAT1010A.SND
CAT1012.SBE	0	1	31	Mister Dolnikov?	미스터 돌니코프?	CAT1012.SND
CAT1012A.SBE	0	1	32	Mister Dolnikov.	미스터 돌니코프.	CAT1012A.SND
CAT1013.SBE	0	1	27	Mister Abbot.	미스터 애벗.	CAT1013.SND
CAT1014.SBE	0	1	29	Milos.	밀로스.	CAT1014.SND
CAT1014A.SBE	0	1	27	Milos?	밀로스?	CAT1014A.SND
CAT1014B.SBE	0	1	23	Milos.	밀로스.	CAT1014B.SND
CAT1015.SBE	0	1	16	Madame?	마담?	CAT1015.SND
CAT1015A.SBE	0	1	18	Madame?	마담?	CAT1015A.SND
CAT1019.SBE	0	1	19	Kahina?	카히나?	CAT1019.SND
CAT1019A.SBE	0	1	27	Kahina.	카히나.	CAT1019A.SND
CAT1021.SBE	0	1	25	Madame Boutarel?	마담 부타렐?	CAT1021.SND
CAT1022.SBE	0	1	24	Monsieur Boutarel?	무슈 부타렐?	CAT1022.SND
CAT1025.SBE	0	1	32	Excuse me, mister Makhta.	실례합니다, 미스터 마크타.	CAT1025.SND
CAT1025A.SBE	0	1	19	Mister Makhta.	미스터 마크타.	CAT1025A.SND
CAT1125.SBE	0	1	37	Sorry, wrong door.	죄송합니다, 문을 잘못 찾았습니다.	CAT1125.SND
CAT1125A.SBE	0	1	39	Sorry, my mistake.	죄송합니다, 제 실수입니다.	CAT1125A.SND
CAT1125B.SBE	0	1	67	Sorry. I can't keep these doors straight.	죄송합니다. 문이 다 비슷해서 자꾸 헷갈리네요.	CAT1125B.SND
CAT1125C.SBE	0	1	101	Sorry. These doors all look alike. My mistake.	죄송합니다. 문이 다 똑같아 보여서요. 제 실수입니다.	CAT1125C.SND
CAT1125D.SBE	0	1	17	Sorry.	죄송합니다.	CAT1125D.SND
CAT1126A.SBE	0	1	20	Pardon me.	실례합니다.	CAT1126A.SND
CAT1126B.SBE	0	1	17	Pardon me.	실례합니다.	CAT1126B.SND
CAT1126C.SBE	0	1	19	Excuse me.	실례합니다.	CAT1126C.SND
CAT1126D.SBE	0	1	18	Excuse me.	실례합니다.	CAT1126D.SND
CAT1127A.SBE	0	1	27	Pardon me.	실례합니다.	CAT1127A.SND
CAT1501.SBE	0	1	54	Oh. Excuse me, mister Makhta.	아, 실례합니다, 미스터 마크타.	CAT1501.SND
CAT1502.SBE	0	1	37	Oh, herr Schmidt, excuse me.	아, 헤어 슈미트, 실례합니다.	CAT1502.SND
CAT1502A.SBE	0	1	35	Oh. Excuse me, herr Schmidt.	아, 실례합니다, 헤어 슈미트.	CAT1502A.SND
CAT1503.SBE	0	1	51	Oh. Excuse me, mister Dolnikov.	아, 실례합니다, 미스터 돌니코프.	CAT1503.SND
CAT1504.SBE	0	1	37	Sorry, Milos. Wrong door.	미안해, 밀로스. 문을 잘못 찾았어.	CAT1504.SND
CAT1505.SBE	0	1	69	Sorry, madame, I was looking for Milos.	죄송합니다, 마담. 밀로스를 찾고 있었습니다.	CAT1505.SND
CAT1505A.SBE	0	1	44	Sorry, I'll come back later.	죄송합니다. 나중에 다시 오겠습니다.	CAT1505A.SND
CAT1506.SBE	0	1	32	Miss Wolff, excuse me.	미스 볼프, 실례합니다.	CAT1506.SND
CAT1506A.SBE	0	1	57	Oh. Miss Wolf, sorry I bothered you, my mistake.	아, 미스 볼프, 방해해서 죄송합니다. 제 실수예요.	CAT1506A.SND
CAT1508.SBE	0	1	60	Oh. Excuse me, miss Norton.	아, 실례합니다, 미스 노턴.	CAT1508.SND
CAT1508A.SBE	0	1	46	Miss Norton, excuse me.	미스 노턴, 실례합니다.	CAT1508A.SND
CAT1509.SBE	0	1	69	Mademoiselle de Bretheuil, excuse me.	마드무아젤 드 브레퇴유, 실례합니다.	CAT1509.SND
CAT1510.SBE	0	1	71	Madame Boutarel. Excuse me.	마담 부타렐, 실례합니다.	CAT1510.SND
CAT1511.SBE	0	1	67	Monsieur Boutarel. Excuse me.	무슈 부타렐, 실례합니다.	CAT1511.SND
CAT1512.SBE	0	1	35	Excuse me, Tatiana.	실례합니다, 타티아나.	CAT1512.SND
CAT1520.SBE	0	1	43	Just a minute.	잠깐만요.	CAT1520.SND
CAT1521.SBE	0	1	25	I'll be in a minute.	금방 나가겠습니다.	CAT1521.SND
CAT5001.SBE	0	1	21	Just checking.	확인만 하는 겁니다.	CAT5001.SND
CAT5001A.SBE	0	1	37	Sorry, just checking.	죄송합니다. 확인만 하겠습니다.	CAT5001A.SND
CAT5001B.SBE	0	1	84	Nothing to worry about. Just stay where you are, everything will be fine.	걱정하실 것 없습니다. 계신 곳에만 계세요, 다 괜찮을 겁니다.	CAT5001B.SND
CAT5001C.SBE	0	1	15	Just checking.	확인만 하는 겁니다.	CAT5001C.SND
CAT5001C.SBE	1	30	106	Nothing to worry about, just stay where you are. Everything will be fine.	걱정 마세요. 계신 곳에만 계시면 됩니다. 다 괜찮을 겁니다.	CAT5001C.SND
CHALONS.SBE	0	0	100	Chalons 9:41 pm	샬롱 오후 9:41	CHALONS.SND
CON1018.SBE	0	22	82	Excuse me, monsieur. This is the conductor.	실례합니다, 무슈. 차장입니다.	CON1018.SND
CON1018A.SBE	0	1	88	Monsieur Whitney, are you in there?	무슈 휘트니, 안에 계십니까?	CON1018A.SND
CON1018B.SBE	0	60	156	Monsieur Whitney, this is the conductor. Are you there please?	무슈 휘트니, 차장입니다. 안에 계십니까?	CON1018B.SND
CON1018D.SBE	0	1	15	Yes?	예?	CON1018D.SND
CON1018D.SBE	1	30	75	Excuse me, monsieur Whitney.	실례합니다, 무슈 휘트니.	CON1018D.SND
CON1018D.SBE	2	76	150	Herr Schmidt is waiting for you in the restaurant car.	헤어 슈미트가 식당칸에서 기다리고 있습니다.	CON1018D.SND
CON1018D.SBE	3	178	225	Shall I bring him a message?	전할 말씀을 받아갈까요?	CON1018D.SND
CON1018D.SBE	4	262	285	I'll be right there.	곧 가겠소.	CON1018D.SND
CON1018D.SBE	5	286	324	Very good, monsieur.	알겠습니다, 무슈.	CON1018D.SND
CON1018E.SBE	0	1	15	Yes?	예?	CON1018E.SND
CON1018E.SBE	1	30	90	Monsieur Whitney, excuse me.	무슈 휘트니, 실례합니다.	CON1018E.SND
CON1018E.SBE	2	91	180	His excellency wishes to receive you in his private car.	각하께서 전용 객차에서 만나길 원하십니다.	CON1018E.SND
CON1018E.SBE	3	181	219	He is waiting for you.	지금 기다리고 계십니다.	CON1018E.SND
CON1019.SBE	0	1	61	Excuse me, monsieur. This is the conductor.	실례합니다, 무슈. 차장입니다.	CON1019.SND
CON1023.SBE	0	15	42	Yes?	예?	CON1023.SND
CON1023.SBE	1	45	115	Conductor to make up your bed for the night, monsieur.	침대 정리를 위해 왔습니다, 무슈.	CON1023.SND
CON1023.SBE	2	117	151	One moment please.	잠시만 기다려 주세요.	CON1023.SND
CON1023A.SBE	0	10	38	Good evening, sir.	좋은 저녁입니다, 선생님.	CON1023A.SND
CON1023A.SBE	1	45	67	Good evening.	좋은 저녁입니다.	CON1023A.SND
CON1024.SBE	0	1	30	Who is it?	누구죠?	CON1024.SND
CON1024.SBE	1	45	100	It's the conductor to make your bed, monsieur.	침대 정리하러 온 차장입니다, 무슈.	CON1024.SND
CON1024.SBE	2	110	136	Wait a minute.	잠깐만요.	CON1024.SND
CON1025.SBE	0	1	80	Sorry, I must have pushed the button by accident.	죄송합니다. 제가 실수로 버튼을 눌렀나 봅니다.	CON1025.SND
CON1025.SBE	1	81	114	Very good, monsieur.	알겠습니다, 무슈.	CON1025.SND
CON1059.SBE	0	1	34	Right away, monsieur.	곧바로 하겠습니다, 무슈.	CON1059.SND
CON1059A.SBE	0	1	35	Almost all, monsieur.	거의 다 됐습니다, 무슈.	CON1059A.SND
CON1060.SBE	0	1	68	It's the conductor to make your bed, monsieur.	침대 정리하러 온 차장입니다, 무슈.	CON1060.SND
CON1061.SBE	0	1	37	Good night, monsieur.	안녕히 주무십시오, 무슈.	CON1061.SND
CON1062.SBE	0	16	76	Don't bother making up the bed.	침대 정리는 하지 마시오.	CON1062.SND
CON1062.SBE	1	77	149	I'll find it easier to sleep if you just leave it as it is.	지금 상태로 두는 편이 잠들기 더 편합니다.	CON1062.SND
CON1062.SBE	2	150	256	Monsieur would be surprised how comfortable our beds are.	저희 침대가 얼마나 편한지 무슈도 놀라실 겁니다.	CON1062.SND
CON1062.SBE	3	257	329	Many people who said they never sleep on trains find that...	열차에서는 절대 못 잔다던 분들도 막상 누우면...	CON1062.SND
CON1062.SBE	4	330	363	I told you to leave it!	그대로 두랬잖소!	CON1062.SND
CON1062.SBE	5	379	453	Of course, monsieur, it's as you wish.	물론입니다, 무슈. 원하시는 대로 하겠습니다.	CON1062.SND
CON1062.SBE	6	454	500	Have a pleasant night, monsieur.	편안한 밤 되십시오, 무슈.	CON1062.SND
CON1110.SBE	0	1	37	Excuse me, monsieur.	실례합니다, 무슈.	CON1110.SND
CON1110A.SBE	0	1	38	Excuse me, monsieur.	실례합니다, 무슈.	CON1110A.SND
CON1110B.SBE	0	1	42	Excuse me, monsieur.	실례합니다, 무슈.	CON1110B.SND
CON1110C.SBE	0	1	26	Excuse me.	실례합니다.	CON1110C.SND
CON1110D.SBE	0	1	34	Good day, monsieur Whitney.	좋은 하루입니다, 무슈 휘트니.	CON1110D.SND
CON1110E.SBE	0	1	39	Good evening, monsieur Whitney.	좋은 저녁입니다, 무슈 휘트니.	CON1110E.SND
CON1110F.SBE	0	1	54	Good night, monsieur Whitney. Sleep well.	안녕히 주무십시오, 무슈 휘트니. 편히 쉬세요.	CON1110F.SND
CON1110G.SBE	0	1	56	Good night, monsieur Whitney. Have a good sleep.	안녕히 주무십시오, 무슈 휘트니. 푹 주무세요.	CON1110G.SND
CON1110H.SBE	0	1	56	Good night, monsieur Whitney. Have a good sleep.	안녕히 주무십시오, 무슈 휘트니. 푹 주무세요.	CON1110H.SND
CON1111.SBE	0	1	29	Excuse me, madame.	실례합니다, 마담.	CON1111.SND
CON1111A.SBE	0	1	30	Excuse me, madame.	실례합니다, 마담.	CON1111A.SND
CON1112.SBE	0	1	30	Good evening, madame.	좋은 저녁입니다, 마담.	CON1112.SND
CON1112A.SBE	0	1	40	Good evening, madame. Excuse me.	좋은 저녁입니다, 마담. 실례합니다.	CON1112A.SND
CON1112B.SBE	0	1	25	Good day, madame.	좋은 하루입니다, 마담.	CON1112B.SND
CON1112C.SBE	0	1	36	Good day, madame. Excuse me.	좋은 하루입니다, 마담. 실례합니다.	CON1112C.SND
CON1112F.SBE	0	1	28	Good evening, monsieur.	좋은 저녁입니다, 무슈.	CON1112F.SND
CON1112G.SBE	0	1	24	Good day, monsieur.	좋은 하루입니다, 무슈.	CON1112G.SND
CON1150.SBE	0	8	49	Good evening, Jacques, how are you?	좋은 저녁이네, 자크. 잘 지내나?	CON1150.SND
CON1150.SBE	1	56	120	I'm waiting for retirement, young friend. What brought you over?	은퇴만 기다리는 처지지, 젊은 친구. 어쩐 일로 왔나?	CON1150.SND
CON1150.SBE	2	124	173	Nothing special. I'm just bored.	별일 아니에요. 그냥 심심해서요.	CON1150.SND
CON1150.SBE	3	177	224	Already? That's a bad start.	벌써? 시작부터 좋지 않군.	CON1150.SND
CON1150.SBE	4	231	282	Oh, you know, I've only got three beds to make	뭐, 아시잖아요. 제가 정리할 침대라곤 세 개뿐이고	CON1150.SND
CON1150.SBE	5	286	340	and one single passenger who seems to need me.	저를 찾는 승객도 딱 한 명뿐이니까요.	CON1150.SND
CON1150.SBE	6	347	403	What are you complaining about, you are exaggerating.	뭘 그리 불평해, 엄살이 심하군.	CON1150.SND
CON1150.SBE	7	408	457	Why don't you make their beds?	그 사람들 침대는 왜 안 정리하지?	CON1150.SND
CON1150.SBE	8	462	558	Well, I've got the harem in four compartments I can't enter...	제가 들어갈 수 없는 객실 네 칸에 하렘이 있고...	CON1150.SND
CON1150.SBE	9	563	631	the eunuch, who doesn't speak any language I've ever heard	환관은 제가 들어본 어느 말도 못 알아듣고,	CON1150.SND
CON1150.SBE	10	636	713	and draws his sword if I get close to one of his women...	그 여자들 근처만 가도 칼을 빼들고...	CON1150.SND
CON1150.SBE	11	718	772	and an American who won't let me make his bed.	어떤 미국인은 침대 정리도 못 하게 합니다.	CON1150.SND
CON1150.SBE	12	777	823	Whose bed does he want to sleep in?	그럼 도대체 누구 침대에서 자겠다는 거야?	CON1150.SND
CON1150.SBE	13	828	865	So, you think that's it!	그러니 제 말이 과장이 아니잖아요!	CON1150.SND
CON1151.SBE	0	14	33	And you?	자네 쪽은 어떤가?	CON1151.SND
CON1151.SBE	1	38	170	No problems. A sick old man, a child, a wolf, nothing special.	별문제 없지. 아픈 노인 하나, 아이 하나, 늑대 한 마리, 뭐 특별할 건 없어.	CON1151.SND
CON1151.SBE	2	172	261	But it's too bad that Mr. Jaur둺 didn't show up.	다만 조레스 씨가 타지 않은 건 아쉽군.	CON1151.SND
CON1151.SBE	3	263	324	That would have really been a pleasure.	정말 뵙고 싶었는데 말이야.	CON1151.SND
CON1151.SBE	4	328	367	Hold on. Did you say a wolf?	잠깐, 늑대라고 했나?	CON1151.SND
CON1151.SBE	5	369	456	Well, I'm no expert, but it sure looks like a wolf.	전문가는 아니지만, 아무리 봐도 늑대 같아.	CON1151.SND
CON1151.SBE	6	460	496	The child I've already seen.	아이는 이미 봤고.	CON1151.SND
CON1151.SBE	7	501	526	Of course.	그렇겠지.	CON1151.SND
CON1151.SBE	8	531	577	Oh well, I'd better get back.	그럼 난 돌아가 봐야겠다.	CON1151.SND
CON1151.SBE	9	581	669	If the German rings and I'm not there, there'll be war.	저 독일인이 벨 눌렀는데 내가 없으면 전쟁이라도 날 거야.	CON1151.SND
CON1151.SBE	10	673	707	Good night, my friend.	잘 자게, 친구.	CON1151.SND
CON1152.SBE	0	21	87	I hate to say it, because I'm enjoying this conversation so much,	이런 말 하긴 싫지만, 대화가 너무 즐거워도	CON1152.SND
CON1152.SBE	1	89	163	but I'm afraid we are not alone.	우리 둘만 있는 건 아닌 것 같군.	CON1152.SND
CON1152.SBE	2	169	254	The American? Don't worry, he doesn't understand a word of French.	저 미국인 말입니까? 걱정 마세요, 프랑스어는 한마디도 못 알아들어요.	CON1152.SND
CON1152.SBE	3	256	360	As we were leaving I asked him not to lean out the window.	나올 때 창밖으로 몸 내밀지 말라고 했는데,	CON1152.SND
CON1152.SBE	4	362	440	He didn't understand me. I had to repeat it in English.	못 알아들어서 영어로 다시 말해 줘야 했습니다.	CON1152.SND
CON1152.SBE	5	446	488	Oh well, if you're sure.	뭐, 확실하다면 됐지.	CON1152.SND
CON1152.SBE	6	492	539	With Americans you can rest easy.	미국인 앞에서는 마음 놓아도 돼.	CON1152.SND
CON1152.SBE	7	541	642	Even the ones who speak French can never understand it. See you later.	프랑스어 한다는 사람도 제대로 못 알아듣거든. 나중에 보세.	CON1152.SND
CON1152.SBE	8	647	681	Good night.	잘 자.	CON1152.SND
CON1200.SBE	0	5	35	Everything fine?	별일 없지?	CON1200.SND
CON1200.SBE	1	39	98	Not really. The police are in my car.	아니, 그렇지도 않아. 내 객차에 경찰이 들이닥쳤어.	CON1200.SND
CON1200.SBE	2	101	147	I know that, but why did you leave?	그건 아는데, 자넨 왜 나왔어?	CON1200.SND
CON1200.SBE	3	151	198	Oh well, if the eunuch wants to chop off their heads...	뭐, 환관이 그 사람들 목을 치고 싶다는데...	CON1200.SND
CON1200.SBE	4	202	225	that's not my problem.	그건 내 알 바 아니지.	CON1200.SND
CON1200.SBE	5	229	265	So what are they looking for?	그래서 뭘 찾고 있는데?	CON1200.SND
CON1200.SBE	6	268	359	Don't you know? They found a dead body on the tracks.	몰랐어? 선로에서 시신이 발견됐대.	CON1200.SND
CON1200.SBE	7	361	413	They seem to think it was thrown off of our train.	우리 열차에서 던져진 걸로 보는 모양이야.	CON1200.SND
CON1200.SBE	8	417	483	They're checking all the compartments in my car.	내 객차의 객실을 전부 검사 중이야.	CON1200.SND
CON1200.SBE	9	487	523	Yours is next.	다음은 자네 쪽이야.	CON1200.SND
CON1200.SBE	10	527	561	Who's dead?	누가 죽은 건데?	CON1200.SND
CON1200.SBE	11	565	620	A foreigner. The body hasn't been identified yet.	외국인이래. 아직 신원은 확인 안 됐고.	CON1200.SND
CON1200.SBE	12	625	693	Then why do they think it's one of ours?	그럼 왜 우리 열차 사람이라고 보는 거지?	CON1200.SND
CON1200.SBE	13	697	796	Our passenger list is complete. No one is missing.	승객 명단은 멀쩡해. 실종된 사람도 없어.	CON1200.SND
CON1200.SBE	14	800	898	Who knows? I'm just following orders.	누가 알겠어? 난 명령만 따를 뿐이지.	CON1200.SND
CON1200.SBE	15	902	1001	On this train, if it's not one thing it's another.	이 열차는 하루도 조용할 날이 없어.	CON1200.SND
CON1210.SBE	0	14	92	Ren? you spend more time here than in your own car.	르네, 자네는 자기 객차보다 여기서 보내는 시간이 더 많군.	CON1210.SND
CON1210.SBE	1	96	151	I tell you I have nothing to do.	정말 할 일이 없다니까.	CON1210.SND
CON1210.SBE	2	153	233	Number 9 is empty until Vienna... the harem is hiding...	9번 객실은 비엔나까지 비어 있고... 하렘 쪽은 숨어 지내고...	CON1210.SND
CON1210.SBE	3	235	319	and the eunuch will chop off my head if I go near them.	내가 가까이 가면 환관이 내 머릴 날려버릴 기세야.	CON1210.SND
CON1210.SBE	4	321	399	I've read my magazine three times, and here I am.	잡지를 세 번이나 읽고도 남아서 여기 온 거야.	CON1210.SND
CON1210.SBE	5	402	520	That's not a magazine you're reading. It has more pictures than text.	그건 잡지라기보다 그림책이지. 글보다 그림이 더 많잖아.	CON1210.SND
CON1210.SBE	6	522	595	That's no way to learn what's happening in the world.	그러고선 세상 돌아가는 걸 알 수가 없지.	CON1210.SND
CON1210.SBE	7	599	693	All right, for the return trip you can give me one of Mr. Jaur둺's pamphlets.	좋아, 돌아오는 길엔 조레스 씨 팸플릿 하나 내게 줘.	CON1210.SND
CON1210.SBE	8	697	809	Go ahead and laugh, but it's the Socialists who'll keep us out of war.	웃어도 좋지만, 우릴 전쟁에서 막아줄 건 사회주의자들이야.	CON1210.SND
CON1210.SBE	9	812	878	I'm not afraid of war. It's the Germans who want it, not us.	난 전쟁이 무섭지 않아. 원한 건 독일 놈들이지 우리가 아니야.	CON1210.SND
CON1210.SBE	10	880	939	But if they start...	하지만 그쪽이 먼저 시작하면...	CON1210.SND
CON1210.SBE	11	943	1020	That's not the point.	핵심은 그게 아니야.	CON1210.SND
CON1210.SBE	12	1022	1097	In modern warfare, nobody wins. Everyone loses.	현대전에서는 아무도 이기지 못해. 모두가 지지.	CON1210.SND
CON1210.SBE	13	1099	1148	It's the military, the politicians,	군부와 정치인들,	CON1210.SND
CON1210.SBE	14	1150	1225	the industrialists of all countries who are bringing us to war.	그리고 각국의 산업가들이 우리를 전쟁으로 몰아가고 있어.	CON1210.SND
